FID;Naiset;Miehet;Ko_perus;Ko_yliop;Ko_ammat;Ko_al_kork;Ko_yl_kork;Tp_tyopy;Ra_pt_as;Ra_kt_as;Ra_muu_as;Pt_tyoll;Pt_tyott;Viipyma_arki;Viipyma_vkl;AC_laturit;DC_laturit;count_Acc_First;count_Business_First;count_Eat_First;count_Gov_First;count_Health_First;count_Leisure_First;count_Shop1_First;count_Shop2_First;count_Sport_First;count_Tourism_First;count_Trans_First;KAC_First;KDC_First;Kvl2_First;Hr_mtu_First;Kika2_First;Te_takk2_First;Pistokkeet
54;149;146;95;21;73;43;26;295;16;158;1;122;29;5758;3430;2;0;1;24;48;24;24;13;4;123;6;1;47;28;10;19500;21918;40,22;1,84;2
55;56;58;21;7;26;20;15;65;37;18;0;58;6;500;400;2;0;1;1;3;0;2;2;0;18;0;2;8;48;9;68336;28451;39,84;2,24;2
56;19;18;4;5;11;8;5;57;10;13;0;19;2;4738;3408;2;0;0;7;4;4;3;0;1;18;0;2;6;47;3;15064;20942;38,47;1,79;2
57;163;155;91;21;82;55;29;237;17;175;2;143;28;1708;947;2;0;2;21;36;22;25;9;3;111;4;1;50;31;13;12000;22238;42,22;1,8;2
58;56;60;18;14;17;23;40;20;13;56;0;78;5;0;0;2;0;1;3;16;0;3;7;0;11;3;5;14;59;11;48900;33437;38,57;2,12;2
59;163;158;97;22;80;49;29;266;15;180;1;136;30;5758;3430;1;1;1;25;50;25;25;13;4;129;6;2;49;26;8;13400;21918;40,71;1,8;2
60;8;9;3;0;8;3;1;33;11;0;0;8;1;1002;635;2;0;0;4;4;0;0;0;0;16;0;0;4;27;10;12398;24250;46,65;1,86;2
61;154;152;61;27;62;71;56;350;1;200;1;162;21;2025;1500;2;0;2;27;17;5;4;8;0;61;7;1;11;60;10;28500;25992;41,94;1,73;2
62;9;10;6;1;7;4;2;18;7;0;0;16;1;1857;919;2;0;0;4;1;0;0;0;0;8;0;0;16;5;4;44834;31427;36,56;2,83;2
63;2;3;1;0;2;1;0;17;3;0;0;4;0;90;0;2;0;0;0;3;0;0;0;0;2;0;0;8;7;3;25596;28846;43,55;0;2
64;162;123;34;43;39;70;98;702;1;216;6;190;16;0;0;2;0;0;13;26;12;18;8;0;47;1;8;38;80;8;34700;26918;39,41;1,58;2
65;84;77;41;13;44;34;19;55;23;67;0;79;9;193;0;2;0;0;9;8;6;2;1;0;30;3;0;14;25;15;69807;23981;42,1;1,95;2
66;129;96;25;39;29;49;61;69;2;129;6;129;13;295;283;2;0;4;6;10;10;12;7;0;42;3;1;17;185;10;34700;28262;41,61;1,57;2
67;56;50;26;6;33;18;8;18;23;35;2;46;6;199;202;2;0;0;6;7;5;4;1;0;15;0;0;12;6;0;6515;22153;44,24;1,88;2
68;9;9;7;0;8;3;1;20;10;2;2;7;1;518;275;2;0;2;6;0;0;0;0;1;9;0;1;5;6;0;3833;20691;55,79;1,75;2
69;32;29;13;2;23;9;3;28;22;11;0;27;3;974;708;2;0;0;5;7;10;3;1;0;12;0;1;9;9;2;7104;24253;44,3;2,06;2
70;47;44;24;6;25;23;14;102;16;33;0;47;6;1333;145;2;0;1;7;8;5;3;3;0;41;3;7;28;31;13;42524;22563;41,58;2,06;2
71;58;55;32;7;36;18;11;109;24;52;0;56;7;0;0;2;0;1;23;29;7;12;5;2;65;0;1;25;15;11;24886;21801;42,28;1,9;2
72;8;6;3;2;3;4;3;10;5;5;2;9;2;647;664;2;0;2;3;8;2;1;6;0;8;0;2;2;4;0;758;20952;45,28;1,74;2
73;180;187;86;38;69;68;44;620;1;254;0;167;22;2770;1476;2;0;3;38;44;14;15;4;2;130;0;4;60;163;14;74370;24603;35,49;1,83;2
74;35;30;14;2;24;11;3;35;22;14;1;28;3;974;708;2;0;0;5;6;9;3;1;0;15;0;1;11;9;2;7104;24253;44,4;2;2
75;124;110;35;19;40;50;58;56;28;111;0;121;12;440;402;2;0;0;8;9;12;16;5;1;46;3;2;31;39;20;55600;28042;42,55;1,79;2
76;18;16;4;1;11;8;4;26;14;3;0;15;2;1700;883;2;0;4;5;7;6;3;1;1;10;1;0;11;38;9;2678;26601;46,09;2,18;2
77;103;108;71;15;44;30;18;161;2;134;0;84;22;3327;2339;2;0;2;39;84;14;32;11;3;180;4;4;45;70;8;52700;19543;42,45;1,83;2
78;95;90;39;18;41;46;30;757;3;125;2;92;11;5742;1328;2;0;2;33;16;4;5;5;0;77;3;0;23;86;3;32600;24379;39,67;1,85;2
79;18;18;13;2;20;7;2;15;17;5;3;23;2;1003;798;2;0;0;3;2;4;3;0;0;12;0;1;10;2;0;2989;23270;45,38;1,86;2
80;19;19;6;3;12;14;14;2;10;8;0;47;2;100;84;2;0;0;0;2;1;0;0;0;2;0;0;20;9;5;23685;30558;33,09;2,61;2
81;50;46;15;6;18;16;16;46;6;44;0;46;5;285;0;2;0;0;2;1;1;0;2;0;14;3;1;16;21;12;81400;29266;38,49;2,17;2
82;42;32;27;3;27;13;4;34;24;37;2;20;4;988;859;2;0;0;10;8;5;7;0;1;25;0;0;12;7;10;7005;18251;57,43;1,48;2
83;0;0;0;0;0;0;0;2;0;0;0;0;0;632;581;2;0;1;1;0;1;0;1;0;0;0;0;2;4;0;1835;0;0;0;2
84;320;307;161;57;117;130;107;285;7;385;0;307;42;9261;8772;2;0;4;26;78;19;31;17;2;186;1;1;40;86;41;58518;24808;40,83;1,74;2
85;0;0;0;0;0;0;0;14;0;0;0;0;0;632;581;2;0;1;1;1;1;0;1;0;0;0;0;4;4;0;1835;0;0;0;2
86;75;60;36;5;54;23;7;62;10;105;3;42;9;2449;1414;2;0;4;20;31;7;10;10;2;94;2;7;20;28;8;;19891;56,48;1,36;2
87;88;65;37;10;49;36;13;243;6;125;9;49;8;1420;649;2;0;3;31;80;16;24;33;0;169;3;9;25;30;2;8718;19688;55,54;1,35;2
88;56;47;24;9;22;23;21;169;0;82;0;70;11;3758;3210;2;0;0;20;14;4;2;1;0;40;3;0;23;80;8;50200;20607;41,06;1,72;2
89;6;6;2;0;5;2;0;8;4;4;0;6;1;1708;1422;2;0;0;1;3;2;0;0;0;1;0;0;6;2;7;18940;24393;37,77;2;2
90;72;69;22;8;33;33;18;96;15;58;0;77;7;3711;4365;1;1;0;8;10;4;2;1;0;46;1;0;15;18;23;75600;27227;37,06;2,09;2
91;96;95;38;13;51;43;25;89;42;62;0;97;10;1661;1397;2;0;2;4;12;2;0;0;0;42;1;0;19;54;10;68336;25615;43,91;1,96;2
92;49;49;19;6;23;19;12;65;36;4;0;47;5;1661;1397;2;0;1;5;11;2;2;1;0;33;0;0;25;54;10;68336;27069;39,72;2,52;2
93;94;67;35;10;50;35;13;238;8;129;8;54;9;4140;2121;2;0;4;29;82;17;30;39;0;176;4;8;24;30;2;;20104;53,37;1,37;2
94;169;151;67;25;106;72;24;187;2;263;6;112;22;2915;1769;2;0;6;32;71;13;28;32;2;155;1;10;19;38;6;11826;19972;50,9;1,42;2
95;55;54;24;6;27;18;11;96;23;26;0;49;7;578;90;2;0;1;7;4;4;1;0;0;34;2;0;26;38;10;68336;26819;40,15;2,3;2
96;230;212;112;45;120;73;34;403;0;371;1;211;32;6954;3702;2;0;4;39;84;22;25;14;3;176;3;4;50;45;5;29900;23167;38,73;1,61;2
97;3;3;0;0;0;2;2;8;4;0;0;3;0;630;604;2;0;0;0;0;0;0;1;0;0;3;0;0;2;0;;30597;52;2,1;2
98;18;17;8;3;14;6;8;219;7;18;0;30;1;2518;1328;2;0;0;0;3;3;7;2;0;9;1;0;18;29;11;40274;27061;38,9;1,94;2
99;122;97;61;11;72;49;17;189;14;151;7;87;13;5565;4701;2;0;1;26;64;9;22;16;6;196;2;5;24;36;9;;22031;52,45;1,52;2
100;213;180;42;54;46;87;113;188;0;284;0;224;18;4225;3355;2;0;2;20;79;26;26;37;0;174;10;16;38;200;16;38100;27998;40,16;1,67;2
101;231;182;83;44;131;88;37;302;13;317;8;154;19;6273;3776;2;0;7;30;121;21;30;25;4;240;3;9;22;51;3;;20662;49,93;1,4;2
102;17;15;6;2;12;11;2;10;17;2;0;17;1;282;0;2;0;0;3;4;1;1;0;0;12;0;0;10;8;6;9462;25434;50,07;1,94;2
103;263;245;65;69;85;117;124;933;1;397;1;282;26;8222;3814;2;0;6;45;123;23;14;34;1;164;5;2;51;114;21;51200;27946;39,43;1,58;2
104;287;268;73;76;92;138;156;463;4;413;14;345;33;924;863;2;0;4;40;118;24;9;43;0;163;6;6;42;255;33;41400;25480;39,37;1,5;2
105;195;172;48;37;64;89;84;698;0;246;0;192;13;4506;2252;2;0;6;21;52;13;9;12;1;60;6;4;30;184;10;44400;25727;40,17;1,73;2
106;49;45;16;5;23;20;12;19;26;26;0;48;3;735;514;2;0;0;3;2;3;0;1;0;13;0;2;14;30;3;15663;27494;42,66;2,07;2
107;85;76;16;20;12;33;55;94;0;98;1;73;5;1701;993;2;0;0;8;28;15;7;21;0;28;1;12;9;172;9;12800;37378;45,61;2;2
108;70;67;12;10;13;31;42;11;57;0;2;61;3;900;926;2;0;0;1;5;4;1;3;0;10;2;1;7;24;9;11800;34009;45,89;2,42;2
109;144;116;33;40;42;64;66;193;0;180;7;142;12;4225;3355;2;0;2;19;50;12;15;23;0;111;14;10;26;213;16;38100;27039;39,36;1,62;2
111;220;225;110;65;103;110;81;248;3;321;0;300;30;346;60;2;0;1;12;2;7;3;1;0;28;0;1;14;159;14;71623;24603;32,67;1,73;2
112;406;378;130;125;129;171;180;580;0;725;18;458;54;3671;2213;2;0;9;48;189;30;31;64;1;287;7;25;50;232;22;51200;25391;41,09;1,41;2
113;80;74;25;14;27;33;29;23;36;51;0;71;7;241;180;2;0;0;7;5;4;5;1;0;19;0;1;30;60;4;68000;26391;43,5;1,93;2
114;2;2;0;0;0;0;0;3;2;0;0;0;0;801;874;2;0;0;0;0;0;0;0;0;0;0;1;5;2;0;7049;0;44,4;0;2
115;0;0;0;0;0;0;0;0;0;0;0;0;0;658;590;2;0;0;0;0;0;0;0;0;0;0;0;7;2;0;8467;0;0;0;2
116;163;161;66;27;67;73;57;433;1;210;1;167;24;2025;1500;2;0;2;34;21;7;5;8;0;80;7;1;15;59;10;28500;25992;41,6;1,75;2
117;0;0;0;0;0;0;0;2;0;0;0;0;0;376;311;2;0;0;0;1;0;0;0;0;1;1;0;0;2;0;1758;0;0;0;2
118;50;47;7;9;4;20;38;10;36;0;0;51;2;603;583;2;0;0;2;2;1;5;1;0;6;0;0;3;34;8;;42655;41,33;2,88;2
119;132;129;66;15;79;45;19;110;18;157;0;111;19;976;765;2;0;3;25;36;12;10;9;1;108;2;1;32;30;9;16426;21954;43,23;1,61;2
120;221;204;86;34;69;97;88;263;28;225;0;204;22;9261;8772;2;0;3;27;76;28;29;15;2;176;2;1;37;94;41;58518;26646;42,47;1,82;2
121;170;152;62;39;54;54;48;205;15;170;2;127;19;1416;947;2;0;0;7;13;16;4;1;0;25;3;0;38;39;17;54900;22544;35,73;1,98;2
122;0;0;0;0;0;0;0;0;0;0;0;0;0;595;480;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;124;0;0;0;2
123;2;2;0;0;1;1;0;1;2;0;0;2;0;418;363;0;2;3;0;1;0;1;3;0;1;0;0;5;0;0;2841;26188;38,95;2,4;2
124;66;63;18;14;12;27;38;98;27;41;0;55;5;485;0;2;0;1;12;10;6;3;2;0;36;0;2;21;98;15;56002;33300;37,59;2,06;2
125;51;40;26;7;32;20;8;16;16;33;0;45;4;1176;811;1;1;2;8;6;9;7;1;0;22;2;0;26;7;2;5914;25875;43,05;1,92;2
126;197;166;43;43;38;75;106;233;0;209;1;159;14;0;0;2;0;4;18;34;10;6;16;0;56;2;11;23;93;8;30100;29992;44,51;1,93;2
127;113;91;44;10;64;39;17;81;34;95;0;80;8;1298;1193;0;2;0;8;12;7;6;2;1;40;1;2;16;32;12;13157;22058;46,66;1,71;2
128;40;40;11;3;20;15;8;6;27;7;0;39;3;273;215;2;0;0;0;0;1;0;0;0;8;1;0;8;6;0;6515;29193;37,29;2,44;2
129;27;29;4;4;10;14;14;5;19;0;0;33;2;1267;1031;2;0;0;1;0;2;0;0;0;6;0;0;5;20;2;8189;34325;35,25;2,96;2
130;35;32;14;3;25;9;3;12;24;10;0;28;3;974;708;2;0;0;2;4;8;2;1;0;8;0;1;7;7;2;7104;24253;44,49;2,08;2
131;195;161;69;30;70;70;75;84;13;184;11;162;18;2322;1579;2;0;0;8;18;10;7;3;0;40;1;3;31;154;18;54900;25615;42,74;1,78;2
