FID;Naiset;Miehet;Ko_perus;Ko_yliop;Ko_ammat;Ko_al_kork;Ko_yl_kork;Tp_tyopy;Ra_pt_as;Ra_kt_as;Ra_muu_as;Pt_tyoll;Pt_tyott;Viipyma_arki;Viipyma_vkl;AC_laturit;DC_laturit;count_Acc_First;count_Business_First;count_Eat_First;count_Gov_First;count_Health_First;count_Leisure_First;count_Shop1_First;count_Shop2_First;count_Sport_First;count_Tourism_First;count_Trans_First;KAC_First;KDC_First;Kvl2_First;Hr_mtu_First;Kika2_First;Te_takk2_First;Pistokkeet
961;47;37;27;3;40;16;4;41;7;57;3;30;3;800;584;2;1;0;12;8;8;9;5;0;38;0;5;9;6;2;6176;19727;55,59;1,43;3
962;28;24;16;1;21;8;1;54;11;29;0;18;4;232;111;2;1;0;8;7;5;3;1;1;19;0;0;5;8;1;7081;18446;49,27;1,66;3
963;64;55;21;6;38;25;13;40;25;43;0;48;4;1287;1054;2;1;0;9;11;3;2;1;1;38;1;0;23;30;9;;22592;46,96;1,79;3
964;89;74;27;10;55;36;16;36;21;95;0;69;6;1328;1038;2;1;0;7;4;5;2;0;1;27;1;0;20;27;7;25747;22438;47,59;1,56;3
965;23;17;13;1;14;7;2;18;14;24;5;13;2;1581;1225;2;1;0;15;5;0;4;1;3;48;0;0;8;12;10;8931;19064;54,35;1,42;3
966;17;18;4;1;9;11;4;52;17;0;0;17;1;2630;2361;2;1;0;13;9;0;3;0;2;47;1;0;19;19;7;26270;26100;42,72;2,38;3
967;45;40;28;2;30;14;5;50;25;34;3;29;6;1014;666;2;1;1;7;12;6;2;1;1;45;0;0;17;33;7;13025;18923;53,97;1,58;3
968;24;19;12;2;19;10;3;44;8;22;2;16;3;307;0;2;1;0;8;4;4;4;1;1;23;1;1;20;5;1;15696;20785;51,45;1,62;3
969;28;27;7;2;19;12;5;34;23;7;0;25;2;889;855;2;1;0;8;4;1;1;0;0;16;1;0;19;23;7;18730;24670;47,57;2,02;3
970;19;19;6;2;10;7;5;113;15;4;0;18;2;0;0;2;1;0;11;8;1;3;1;0;57;1;0;23;14;13;28865;25802;41,73;2,23;3
971;23;21;7;6;15;8;3;122;5;28;0;21;3;4885;4257;2;1;0;24;25;2;12;2;2;80;1;0;31;54;10;41070;19361;36,63;1,4;3
972;12;12;8;1;13;5;1;14;15;0;0;12;2;869;713;2;1;1;3;0;2;0;0;0;5;0;0;13;7;1;9250;22678;49,74;2,22;3
973;0;0;0;0;0;0;0;46;0;0;0;0;0;3887;359;2;1;0;3;5;0;0;1;3;15;2;0;5;52;0;41911;0;0;0;3
974;70;66;22;11;40;29;19;80;28;54;3;66;8;2127;1326;2;1;1;7;7;4;3;0;0;22;0;0;24;13;4;;23509;43,26;1,75;3
975;28;24;14;1;21;9;1;18;23;17;1;14;2;1056;659;2;1;1;4;4;4;8;1;0;21;0;0;9;3;4;5569;18139;53,35;1,61;3
976;2;2;0;0;2;0;0;5;2;0;0;2;0;184;53;3;0;0;1;1;0;0;0;0;4;0;0;6;3;2;14281;17979;47,09;0;3
977;26;21;17;2;20;7;2;17;9;33;2;15;3;227;0;2;1;0;2;8;4;1;1;1;36;2;1;10;8;0;9298;18614;52,9;1,4;3
978;64;54;20;9;36;27;17;46;18;54;1;56;7;1607;1529;2;1;1;11;7;3;1;0;0;31;1;0;26;83;14;2492;21071;44,19;1,88;3
979;82;66;47;5;56;19;4;45;15;86;4;46;8;1337;931;2;1;1;11;16;6;13;9;2;48;0;0;23;40;12;5893;18197;51,68;1,55;3
980;78;66;32;7;49;29;12;62;17;73;0;52;7;2342;1893;2;1;3;13;14;5;4;1;2;43;1;0;29;31;11;;21341;50,17;1,59;3
981;39;37;9;7;30;18;10;38;14;41;0;49;3;2167;1974;2;1;0;4;5;0;0;2;1;26;1;0;12;6;6;14650;22582;39,24;1,66;3
982;3;4;4;0;2;0;0;70;0;5;0;2;1;1686;0;2;1;0;10;4;0;2;0;2;37;0;0;16;11;8;18730;14830;40,6;1,7;3
983;38;35;17;7;30;15;5;65;5;51;1;34;5;2273;2676;2;1;0;6;7;2;1;1;0;21;0;0;14;31;0;53495;20222;43,29;1,59;3
984;23;22;4;2;12;10;7;56;22;0;1;23;2;2304;1311;2;1;0;6;4;1;1;0;0;12;1;0;13;18;2;42271;27657;38,1;2,41;3
985;33;29;15;2;28;11;3;25;20;21;1;27;3;539;266;2;1;0;7;6;3;3;1;1;30;1;0;24;5;1;15696;21332;47,77;1,68;3
986;1;0;0;0;0;0;0;15;0;0;0;0;0;1956;1682;2;1;1;3;2;0;0;0;0;8;0;0;7;7;2;8462;0;46,31;0;3
987;7;5;6;0;6;1;1;10;2;16;0;4;1;305;0;1;2;1;3;1;0;0;0;2;16;0;0;5;10;9;8931;16005;53,46;1,33;3
988;59;51;25;8;43;22;7;86;6;103;3;48;6;1812;1472;2;1;1;16;17;4;3;5;2;59;0;1;24;14;4;;20637;49,49;1,42;3
989;70;56;30;10;33;28;12;190;21;76;7;45;4;2043;1881;2;1;8;40;59;12;18;23;1;186;1;11;29;43;9;12960;21231;52,42;1,51;3
990;32;32;11;3;24;10;4;32;27;11;0;28;3;889;855;2;1;0;11;7;3;3;1;0;26;1;0;29;31;7;18730;23593;43,56;1,97;3
991;127;113;32;24;64;51;33;25;28;120;0;105;11;1709;1380;1;2;0;1;6;9;6;1;0;23;0;1;25;25;9;18199;20988;41,88;1,71;3
992;58;55;13;7;25;25;21;14;37;20;0;56;4;761;601;3;0;1;3;3;3;2;1;0;12;0;0;17;25;7;46173;24965;42,13;2,1;3
993;13;11;3;1;8;6;2;49;11;2;0;14;0;957;692;3;0;0;9;8;2;1;1;1;41;0;0;7;49;8;35106;28362;37,79;2,48;3
994;70;55;37;4;45;21;7;45;30;69;1;41;6;439;207;3;0;3;20;30;8;10;7;1;71;0;1;25;33;8;13025;18740;54,29;1,41;3
995;7;7;3;0;5;3;1;14;10;0;0;7;1;562;465;1;2;0;1;3;1;0;0;0;3;0;0;9;2;1;17484;27732;39,43;2,09;3
996;17;15;8;2;14;5;2;26;17;1;0;15;1;816;553;1;2;0;8;5;3;0;1;0;18;1;1;11;3;0;8467;20303;49,47;1,86;3
997;15;11;12;1;12;5;2;11;4;20;2;10;1;557;351;1;2;1;7;5;5;2;3;0;20;0;2;5;1;0;2948;17071;57,11;1,37;3
998;31;24;23;3;31;10;2;30;5;43;2;22;4;256;215;3;0;1;10;10;8;8;5;2;49;1;5;17;3;0;8664;17608;53,99;1,39;3
999;14;11;6;1;10;5;2;36;13;4;3;9;1;852;566;3;0;2;7;6;4;6;4;1;30;0;1;4;7;0;6424;19265;48,75;1,85;3
1000;12;10;4;1;10;4;2;13;14;0;0;12;1;342;277;3;0;0;0;0;3;1;0;0;3;0;0;3;11;0;5429;22992;44,88;1,81;3
1001;57;64;23;12;31;22;12;24;31;52;1;49;6;1556;998;3;0;0;4;6;1;5;1;0;15;0;2;21;42;9;16484;21777;38,48;2;3
1002;44;38;25;2;39;16;4;35;32;34;2;32;4;1169;896;3;0;1;10;8;9;7;3;1;25;1;2;6;9;5;7111;19112;53,87;1,51;3
1003;20;17;10;1;16;7;2;22;15;11;3;15;1;1102;702;3;0;1;8;7;8;5;2;0;32;0;3;6;12;0;5912;20541;49,92;1,63;3
1004;10;11;2;0;7;5;2;47;7;0;0;10;1;2762;2193;1;2;0;11;5;0;0;0;2;24;0;0;5;48;18;13329;27049;35,49;3,04;3
1005;8;10;8;1;7;3;1;6;9;3;0;11;0;989;775;3;0;0;2;0;4;1;0;0;2;0;0;5;5;1;5223;25208;45,79;1,66;3
1006;0;0;0;0;0;0;0;9;0;0;0;0;0;2663;753;3;0;0;1;1;0;0;0;0;2;0;0;2;20;0;16118;0;52;0;3
1007;2;2;1;0;1;1;0;36;1;0;0;2;0;737;511;3;0;0;0;1;0;1;0;0;7;0;0;9;5;0;30192;25375;43,49;0;3
1008;141;124;44;34;70;61;33;168;1;213;2;124;12;2903;1903;3;0;2;7;12;10;11;5;0;58;2;1;26;71;3;10387;20680;44,08;1,43;3
1009;0;0;0;0;0;0;0;3;0;0;0;0;0;571;556;3;0;0;0;1;0;0;0;0;0;0;2;0;3;0;2578;0;0;0;3
1010;4;4;0;0;2;2;1;33;4;0;0;4;0;1108;832;3;0;0;3;2;0;0;0;0;8;0;0;4;19;0;15986;27852;38,53;2,5;3
1011;14;11;2;3;5;7;4;350;4;10;0;16;1;367;114;3;0;0;4;0;2;5;0;0;1;0;0;6;7;0;;25748;31,47;1,88;3
1012;54;51;31;5;34;20;8;144;22;49;9;41;4;811;576;1;2;7;23;42;12;25;9;2;93;1;6;9;27;1;7385;20542;49,59;1,63;3
1013;12;11;11;1;11;4;1;34;10;8;1;14;0;1527;1164;3;0;0;7;3;3;8;0;0;6;0;0;8;3;0;5161;18797;51,52;1,61;3
1014;76;72;34;5;59;25;5;13;37;70;0;55;13;732;396;1;2;1;3;5;5;1;0;0;20;0;0;16;13;4;;20370;44,98;1,6;3
1015;5;5;0;0;4;2;1;6;5;0;0;5;0;460;345;3;0;0;0;0;1;0;0;0;2;0;1;2;5;0;9385;26593;38,05;2,4;3
1016;1;1;0;0;0;0;0;0;1;0;0;0;0;392;509;3;0;1;0;2;0;0;1;0;0;0;1;0;3;0;504;0;43,5;0;3
1017;3;2;0;0;0;0;0;2;4;0;0;1;1;768;562;2;1;0;0;0;4;0;0;0;3;0;0;6;2;0;2781;16909;52,7;0;3
1018;35;27;17;2;24;9;3;78;6;44;2;19;5;537;190;2;1;1;13;21;7;9;5;2;51;0;0;14;9;4;5203;17931;53,09;1,43;3
1019;84;74;38;21;60;37;10;110;6;147;5;62;7;1272;949;2;1;2;26;35;13;20;6;3;104;0;0;17;24;8;19290;19175;43,04;1,4;3
1020;20;21;11;3;13;7;4;162;10;20;1;14;4;3344;389;2;1;0;19;27;2;2;2;2;74;3;2;7;46;4;34044;17773;42,47;1,64;3
1021;84;90;45;41;38;29;14;128;1;119;3;84;10;536;67;2;1;1;10;13;10;5;4;1;43;1;0;30;90;11;13583;17683;34,51;1,52;3
1022;50;48;17;16;33;23;12;67;15;61;1;48;9;1280;1055;2;1;0;10;6;1;2;1;1;29;0;1;18;19;8;30691;19155;37,68;1,57;3
1023;6;6;3;0;7;2;1;19;9;0;0;7;0;314;0;2;1;4;0;5;0;2;2;0;6;1;2;8;9;4;7111;23117;46,18;1,56;3
1024;14;14;3;1;12;7;2;53;17;3;0;16;1;1175;741;2;1;0;5;11;4;1;0;0;25;0;1;13;36;24;7973;25807;42,81;1,86;3
1025;56;56;19;9;39;26;15;73;20;62;1;53;6;113;81;2;1;1;4;12;4;4;1;0;32;1;1;21;37;3;;20365;45,79;1,65;3
1026;31;22;20;1;23;9;2;37;6;45;3;16;3;1533;1513;2;1;0;15;8;5;3;3;0;38;0;1;5;6;7;6545;18001;59,25;1,38;3
1027;24;25;5;3;11;13;10;78;15;8;0;28;2;3305;3100;3;0;1;11;5;1;2;0;2;44;0;0;10;38;10;13583;24960;37,03;2,16;3
1028;50;45;17;4;34;14;6;46;16;40;0;39;9;2195;1856;2;1;0;9;6;7;2;0;0;47;0;0;18;15;14;23004;22568;35,59;1,94;3
1029;28;19;19;1;21;9;3;43;4;42;4;13;3;1533;1513;2;1;0;15;7;4;3;3;0;38;0;0;5;6;7;6545;18001;61,33;1,33;3
1030;;;;;;;;;;;;;;148;224;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;;0;;;3
1031;20;19;9;1;19;10;3;68;22;0;1;20;1;2980;2252;2;1;1;13;12;2;6;0;0;41;0;0;14;25;20;19290;21957;45,48;2,07;3
1032;65;67;28;5;47;19;10;25;15;66;0;43;12;2055;1416;2;1;0;1;2;6;0;0;0;10;0;2;20;31;7;31121;18408;44,74;1,67;3
1033;25;26;5;3;12;14;10;70;17;8;0;29;2;3305;3100;2;1;1;11;5;1;2;0;2;44;0;0;10;47;9;13583;25021;38,13;2,17;3
1034;15;14;4;1;10;8;3;31;14;0;0;16;1;0;0;2;1;1;3;0;1;2;0;1;12;0;0;16;4;4;27916;26535;40,77;2,14;3
1035;43;36;15;3;32;13;5;56;11;41;0;34;8;2093;2173;2;1;0;8;6;9;2;0;0;46;0;1;19;15;14;23004;20267;37;1,86;3
1036;11;12;5;0;12;4;1;20;12;2;1;10;1;190;0;2;1;0;3;2;6;0;1;0;13;0;1;7;4;2;3069;20695;49,15;1,66;3
1037;56;45;31;3;45;19;4;40;18;77;2;31;7;495;378;2;1;2;17;23;7;12;7;1;72;0;2;15;6;5;7465;18937;56,44;1,41;3
1038;0;0;0;0;0;0;0;1;0;0;0;0;0;741;936;3;0;2;0;3;0;0;0;0;0;0;0;0;3;0;128;0;0;0;3
1039;49;48;17;16;34;22;11;81;12;62;0;49;9;1280;1055;2;1;0;11;6;1;2;0;1;28;0;0;15;19;8;30691;19155;37,83;1,52;3
1040;196;140;60;35;109;71;33;254;4;312;11;146;20;3664;1984;3;0;50;63;109;29;31;56;3;265;7;11;30;41;3;22344;19428;45,44;1,43;3
1041;1;1;0;0;0;0;0;11;1;0;0;0;0;1483;1805;3;0;10;1;9;1;1;8;0;6;0;2;5;14;0;1257;0;40;0;3
1042;71;62;33;4;54;21;6;65;23;78;7;41;9;1799;1005;3;0;5;22;23;13;9;12;0;80;0;11;21;26;7;4509;19411;49,97;1,48;3
1043;2;3;0;0;1;2;0;18;3;0;1;3;0;1414;1717;3;0;13;2;16;1;0;6;0;10;0;1;4;7;7;5538;29170;39,92;1,9;3
1044;197;169;61;63;100;84;56;585;5;351;10;167;24;10455;7973;3;0;20;61;150;20;88;55;2;331;6;20;29;35;9;;20123;45,51;1,4;3
1045;1;0;0;0;0;0;0;5;0;0;0;0;0;549;797;3;0;0;0;0;0;0;0;0;2;0;0;7;8;8;3676;0;37;0;3
1046;73;55;34;6;48;24;6;130;4;108;13;45;9;598;115;3;0;5;13;39;4;12;6;2;94;0;5;19;12;7;17543;19489;51,72;1,36;3
1047;9;10;2;1;9;5;2;10;8;0;0;12;1;1014;794;3;0;0;4;2;2;0;0;0;9;0;0;7;8;4;14265;26454;40,51;2,88;3
1048;16;14;6;1;12;7;2;10;18;0;0;13;1;822;486;3;0;1;1;0;0;0;0;0;4;0;0;5;6;0;5979;23714;47;1,92;3
1049;37;37;10;3;21;13;9;11;27;4;0;32;4;996;659;2;1;0;0;0;3;1;0;0;4;0;0;12;5;2;9272;26120;41,39;2,35;3
1050;1;1;1;0;1;0;0;0;1;0;0;1;0;1483;1805;3;0;3;1;1;0;0;1;0;1;0;0;6;3;0;406;18508;65,13;0;3
1051;22;18;14;2;17;6;1;14;22;11;2;15;4;823;562;2;1;5;2;4;2;1;0;1;20;0;1;8;2;0;2519;18243;54,49;1,62;3
1052;0;0;0;0;0;0;0;2;0;0;0;0;0;1483;1805;3;0;0;0;0;0;0;1;0;0;0;0;0;3;0;407;0;0;0;3
1053;242;206;70;81;112;95;63;612;3;410;12;200;28;10455;7973;3;0;27;63;163;24;94;56;2;362;6;21;37;35;9;;19913;43,1;1,39;3
1054;7;9;10;0;13;4;1;6;15;1;1;8;2;648;494;3;0;1;3;2;5;1;1;0;5;0;1;6;3;0;988;19386;62,78;1,56;3
1055;18;14;9;1;12;5;2;59;19;2;0;11;1;790;505;3;0;1;5;4;7;6;0;0;10;1;0;7;6;0;5979;19595;49,47;1,82;3
1056;18;18;7;1;15;6;2;46;19;3;1;14;2;1605;1387;2;1;1;16;8;1;2;1;3;51;2;0;16;16;11;11624;24284;43,76;2,14;3
1057;3;3;1;0;1;1;2;99;3;0;1;3;0;5732;4601;2;1;0;11;9;1;3;1;2;58;0;0;10;18;8;23592;30933;46,87;2,3;3
1058;13;14;4;1;9;7;3;18;13;0;0;15;1;919;673;2;1;2;2;0;1;1;1;0;4;0;0;4;4;0;7862;27764;41,3;2,09;3
1059;57;56;17;3;33;19;15;13;46;8;0;49;6;556;469;2;1;0;4;2;3;3;1;0;14;0;0;19;13;9;9272;25378;42,96;2,16;3
1060;165;152;58;44;89;61;38;77;1;247;1;119;28;2863;1563;2;1;2;8;21;12;6;8;0;51;1;1;19;29;10;14512;18124;43,21;1,4;3
1061;21;17;7;1;17;8;1;13;20;6;0;17;3;202;143;2;1;0;1;3;3;3;1;0;11;0;0;12;2;0;9478;21658;47,48;1,64;3
1062;54;52;12;5;27;24;15;20;44;6;0;47;4;578;436;2;1;0;1;2;2;2;0;0;6;1;0;19;7;4;23733;25828;43,23;2,22;3
1063;15;16;4;0;13;6;3;13;12;0;0;15;2;1157;696;3;0;0;1;0;2;0;0;0;5;0;0;9;3;0;11915;26475;38,59;2,5;3
1064;12;12;10;1;11;2;1;21;13;4;1;8;1;594;269;3;0;1;3;2;2;5;1;0;9;0;0;7;3;0;3686;16907;51,99;1,5;3
1065;116;109;41;14;82;39;17;37;11;162;0;91;23;1014;631;2;1;0;4;4;1;0;0;0;10;0;0;13;3;4;44592;21324;42,33;1,6;3
1066;10;9;5;1;6;3;1;59;3;8;0;6;4;801;171;2;1;0;3;2;2;1;0;1;13;0;0;9;8;4;22130;15612;36,68;1,78;3
1067;119;90;33;27;60;49;30;114;14;164;5;87;11;1721;193;2;1;1;18;14;6;7;2;1;61;0;1;21;54;15;22636;20884;45,35;1,44;3
1068;36;29;25;1;28;9;3;67;9;53;10;17;4;272;167;2;1;1;13;12;6;12;4;3;44;2;4;11;23;9;3846;17233;60,03;1,31;3
1069;14;13;5;1;15;7;2;26;18;0;0;16;1;1605;1387;2;1;0;11;5;0;0;1;3;21;0;0;13;6;7;11624;25370;42,78;2,2;3
1070;36;34;25;1;32;9;2;19;15;53;1;16;6;707;334;2;1;1;1;5;1;2;0;0;12;0;1;12;21;9;3846;17233;58,73;1,37;3
1071;29;29;10;2;24;12;3;30;24;11;0;25;3;870;505;2;1;1;3;0;2;0;0;0;3;0;0;8;9;0;10111;22175;42,55;1,82;3
1072;62;58;23;8;45;24;14;11;23;45;0;56;16;343;97;2;1;0;0;1;1;1;0;0;7;0;0;8;2;0;17453;19090;38,03;1,9;3
1073;25;15;16;2;18;7;2;47;2;29;13;12;2;1229;1003;2;1;2;10;9;4;2;4;2;29;0;2;4;4;4;5081;18164;62,83;1,36;3
1074;6;5;13;0;9;2;1;4;8;0;1;8;1;678;537;2;1;2;0;2;1;3;2;0;6;0;2;4;2;0;3754;15486;50,82;1,46;3
1075;13;10;4;0;10;5;2;48;14;2;0;11;1;1414;2010;2;1;1;12;7;2;1;2;3;36;0;4;7;8;6;7753;22022;48,11;1,81;3
1076;9;9;5;1;8;3;1;54;7;10;0;6;1;1439;1061;2;1;1;13;4;0;1;0;1;33;2;0;10;18;6;14535;17389;45,87;1,66;3
1077;0;1;0;0;0;0;0;4;0;0;0;0;0;479;572;2;1;0;0;0;0;0;0;0;1;0;0;12;2;0;9881;0;45;0;3
1078;0;0;0;0;0;0;0;36;0;0;0;0;0;346;507;2;1;0;0;1;0;0;0;0;2;0;0;0;2;0;19219;0;0;0;3
1079;35;47;9;25;14;14;13;206;7;61;0;34;4;294;0;2;1;0;12;3;3;3;0;0;17;2;0;16;12;4;37402;14952;31,3;1,38;3
1080;3;6;0;0;0;0;0;7;2;2;1;0;0;126;129;2;1;0;0;0;0;0;0;0;1;0;0;5;2;0;1929;0;36,67;;3
1081;13;14;11;1;11;3;0;4;21;0;1;12;1;1094;625;2;1;1;4;0;3;4;0;0;4;0;0;6;4;0;2033;21165;46,4;1,69;3
1082;25;22;16;1;19;6;1;34;15;15;4;14;3;1011;1011;2;1;1;7;6;5;4;0;0;29;1;0;12;16;6;8354;17708;49,58;1,61;3
1083;55;48;27;3;42;15;4;69;20;65;5;31;7;1731;1116;2;1;3;24;20;12;9;7;1;84;1;10;23;26;6;7738;19411;50,39;1,49;3
1084;18;18;9;1;19;6;2;43;14;9;4;19;2;377;376;2;1;3;16;10;8;3;5;0;32;0;1;6;2;0;6464;22234;47,03;1,74;3
1085;4;5;1;0;4;1;1;65;5;3;0;5;1;3083;2742;2;1;0;9;6;5;4;2;0;36;0;1;10;48;8;22344;23194;40,1;1,77;3
1086;27;25;9;13;15;10;5;261;0;59;0;32;3;4470;4047;2;1;0;20;16;3;4;5;2;49;3;0;13;47;15;14705;19758;31,93;1,27;3
1087;7;8;7;0;6;2;1;15;9;5;2;5;1;416;256;2;1;0;1;4;4;1;0;0;9;0;3;7;2;0;2611;19249;56,45;1,43;3
1088;36;32;15;5;27;15;4;37;7;48;3;25;4;694;458;2;1;1;13;14;3;7;4;1;38;0;1;18;17;13;10339;20165;50,19;1,44;3
1089;20;18;15;1;19;6;1;29;8;22;4;13;3;0;0;2;1;0;10;3;4;3;2;0;26;0;0;11;10;0;3614;18045;58,35;1,42;3
1090;116;93;43;17;77;42;15;200;3;164;9;71;12;2550;1350;2;1;4;26;31;17;28;13;0;112;4;6;33;17;13;10339;19241;50,41;1,33;3
1091;105;88;30;34;59;42;23;118;9;161;6;93;10;1721;193;1;2;1;22;20;6;8;1;1;63;1;0;21;53;14;22636;20149;39,85;1,41;3
1092;12;11;9;0;13;4;1;17;7;12;1;10;2;0;0;3;0;0;7;2;4;2;2;0;18;0;1;14;9;1;3614;16383;53,13;1,54;3
1093;25;21;20;1;21;7;1;27;25;12;4;14;2;644;483;3;0;1;7;3;3;1;2;0;17;0;3;5;4;1;2958;18245;59,76;1,41;3
1094;7;6;3;0;5;2;0;7;8;0;0;5;1;1675;1402;2;1;1;2;0;1;0;0;0;3;0;0;6;4;0;3622;21133;49,68;2,28;3
1095;208;147;62;35;120;73;31;288;4;310;10;153;22;3664;1984;3;0;49;67;109;32;33;55;3;267;7;10;31;36;2;22344;19371;44,69;1,44;3
1096;166;121;51;23;98;60;24;201;11;236;4;120;18;1642;1247;3;0;37;56;82;22;24;36;3;227;7;9;29;32;2;22344;19428;45,34;1,45;3
1097;278;207;49;43;59;115;142;118;3;308;1;229;15;1858;923;4;0;0;21;33;13;25;5;0;104;1;3;30;51;5;41800;29186;44,92;1,73;4
1098;521;469;122;141;122;213;276;785;4;729;13;564;48;6195;5062;4;0;41;119;342;83;62;94;0;792;11;30;54;461;22;57500;28268;40,31;1,62;4
1099;8;9;3;1;7;5;1;8;7;7;1;8;2;918;1052;4;0;4;2;8;0;0;2;0;7;0;0;2;5;0;1956;20124;42,06;1,62;4
1100;323;319;101;106;118;143;134;832;0;533;1;394;48;3591;2059;0;4;8;51;140;38;21;43;1;185;5;4;45;111;15;51200;24221;37,76;1,41;4
1101;111;103;45;33;35;38;30;257;7;122;3;83;11;1325;609;4;0;0;11;14;16;7;2;1;28;3;0;36;36;12;54900;20597;34,66;1,93;4
1103;0;1;0;0;0;0;0;124;0;0;0;0;0;4734;519;4;0;0;14;11;1;1;3;1;67;1;0;12;21;9;11017;0;51,91;0;4
1104;81;77;28;22;30;37;37;157;0;131;2;90;13;0;0;4;0;1;11;62;8;7;32;0;66;9;16;19;225;20;38100;26627;40,8;1,43;4
1105;477;400;80;117;75;189;308;538;0;623;12;454;32;10383;7153;4;0;13;42;130;35;56;54;0;294;8;30;32;302;15;32800;30659;44,07;1,71;4
1106;276;239;42;56;51;116;167;103;3;310;7;291;18;3481;2695;4;0;2;26;30;20;15;5;0;101;3;1;32;252;9;60800;30713;39,99;1,75;4
1107;97;73;40;13;54;39;14;230;5;142;6;55;9;1634;922;4;0;3;25;70;16;22;30;0;168;2;8;24;33;1;;20373;53,2;1,36;4
1108;182;162;46;65;60;76;62;250;4;235;1;187;16;4340;2625;4;0;0;16;23;14;1;11;2;51;4;3;24;163;17;45000;24088;36,19;1,75;4
1109;20;19;10;2;19;10;3;29;16;8;1;18;3;2029;1809;4;0;0;8;10;4;1;0;0;17;0;0;20;8;1;18408;23730;50,12;1,69;4
1110;62;58;31;8;28;20;13;16;23;34;0;54;9;248;195;4;0;0;0;2;3;1;0;0;9;5;0;13;37;4;11600;26422;40,24;2,16;4
1111;74;70;12;10;13;32;44;16;60;0;2;64;3;900;926;4;0;0;0;5;4;0;3;0;7;2;1;7;22;8;11800;34012;45,08;2,44;4
1112;68;55;30;5;46;17;6;31;24;57;3;50;5;926;579;4;0;2;14;28;8;7;2;0;52;3;2;15;29;6;9583;20921;46,61;1,63;4
1113;140;132;65;29;44;52;45;788;0;181;3;124;16;1251;763;4;0;2;34;54;30;12;20;1;59;7;0;50;191;16;41400;23057;39,31;1,78;4
1114;307;255;120;56;171;116;54;481;1;432;28;248;56;8379;4908;4;0;13;63;152;29;68;46;3;431;2;17;30;55;17;;20222;46,93;1,38;4
1115;37;39;13;3;28;16;5;86;26;17;0;38;4;815;374;4;0;2;1;3;2;0;0;0;12;0;0;18;56;3;29824;25692;44,83;1,97;4
1117;106;94;33;15;35;41;44;33;29;82;0;101;10;1015;733;4;0;0;4;2;9;4;2;0;21;3;2;19;41;16;55600;27911;41,71;1,91;4
1118;75;65;38;9;50;27;8;72;12;99;0;66;7;1550;922;4;0;1;13;16;8;12;4;0;59;2;1;21;38;3;22167;23280;49,59;1,53;4
1119;543;470;99;146;88;214;346;665;0;643;18;532;38;10383;7153;4;0;15;57;132;49;62;69;0;349;10;34;67;407;15;37000;31326;42,61;1,73;4
1120;91;65;49;4;56;29;8;89;10;113;8;34;9;760;541;4;0;1;14;27;4;14;9;0;81;0;8;19;6;1;;19415;62,27;1,39;4
1121;37;34;16;4;17;16;9;123;12;25;0;32;4;2635;2881;4;0;1;7;5;5;2;2;0;36;2;6;26;47;13;42524;22563;41,51;2,06;4
1122;2;2;1;0;2;1;0;104;2;0;0;3;0;1618;1609;2;2;0;10;3;0;0;1;0;33;0;0;17;7;2;32693;25915;45,36;2,6;4
1123;20;20;3;2;3;8;13;21;14;0;0;20;0;1017;946;4;0;0;2;4;5;1;3;2;10;1;0;6;96;9;71623;40311;38,85;2,92;4
1124;1;1;0;0;0;0;0;10;0;0;0;0;0;921;939;4;0;0;2;1;0;0;0;0;1;0;0;2;4;0;22974;0;30;0;4
1125;88;71;20;13;24;32;42;94;10;80;1;79;7;905;605;4;0;3;12;19;14;3;5;1;21;3;0;29;235;18;41400;27421;42,87;1,85;4
1126;86;88;38;14;31;39;35;56;5;107;0;93;11;429;0;4;0;0;8;35;15;6;9;1;65;5;1;23;165;17;74370;27323;38,98;1,82;4
1127;305;291;149;53;109;125;104;264;11;360;0;287;38;9261;8772;4;0;4;26;79;21;32;17;2;181;1;1;40;86;41;58518;25096;40,81;1,75;4
1128;333;282;64;85;66;137;186;429;0;448;2;338;27;0;0;4;0;6;23;95;36;35;45;0;200;8;20;38;191;18;38100;28997;41,58;1,66;4
1129;73;73;31;11;35;32;16;62;20;55;0;76;9;2701;2828;0;4;0;5;8;2;1;1;0;36;1;0;19;21;6;75600;27110;36,79;2,04;4
1130;110;91;51;9;63;42;15;130;21;114;6;76;10;1189;904;4;0;1;22;47;8;18;13;6;182;2;5;16;28;9;;22653;52,95;1,57;4
1131;60;47;34;3;43;11;4;58;10;84;0;27;8;3603;2221;4;0;4;10;11;5;6;4;2;25;0;3;10;26;9;12703;17393;52,18;1,39;4
1132;30;26;13;4;14;16;9;16;24;14;1;24;3;897;639;4;0;4;15;20;3;5;3;0;32;0;3;6;18;6;2182;20742;53,44;1,82;4
1133;44;34;29;3;37;10;4;75;6;53;0;26;7;1263;745;4;0;0;11;9;3;4;3;3;30;0;0;7;33;10;12703;17393;51,19;1,43;4
1134;55;55;10;6;7;23;37;17;40;7;0;48;2;448;462;4;0;0;0;8;4;4;1;0;13;0;0;5;46;8;;39030;43,17;2,48;4
1135;9;8;2;0;7;5;1;1;11;0;0;8;1;1741;864;4;0;2;0;2;0;0;4;0;1;1;0;8;6;1;8718;25137;52,04;1,88;4
